recipe_name,recipe_link,recipe_type
10 easy Christmas dessert recipes,https://realfood.tesco.com/gallery/10-easy-christmas-dessert-recipes.html,Top 10
3-ingredient mini egg muffins,https://realfood.tesco.com/step-by-step/3-ingredient-mini-egg-muffins.html,Step-by-step
10 marvellous meatball recipes,https://realfood.tesco.com/gallery/10-marvellous-meatball-recipes.html,Top 10
What's in season in April,https://realfood.tesco.com/whats-in-season/april.html,Tips and trends
3-ingredient Irish cream marshmallow shots,https://realfood.tesco.com/step-by-step/3-ingredient-irish-cream-marshmallow-shots.html,Step-by-step
How to make your favourite fast food at home,https://realfood.tesco.com/curatedlist/how-to-make-your-favourite-fast-food-at-home.html,Tips and trends
10 easy breakfast recipes,https://realfood.tesco.com/gallery/10-easy-breakfast-recipes.html,Top 10
10 delicious corn on the cob recipes,https://realfood.tesco.com/gallery/10-delicious-corn-on-the-cob-recipes.html,Top 10
10 best festive drinks,https://realfood.tesco.com/gallery/10-best-festive-drinks.html,Top 10
How to use herbs,https://realfood.tesco.com/curatedlist/how-to-use-herbs.html,Tips and trends
5 easy family dinners for £25 – March week 2,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-march-week-2.html,Tips and trends
Six ways to use up leftover onions,https://realfood.tesco.com/curatedlist/six-ways-to-use-up-leftover-onions.html,Tips and trends
10 beautiful blackberry recipes,https://realfood.tesco.com/gallery/10-beautiful-blackberry-recipes.html,Top 10
Amazing ways to use stuffing,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-stuffing.html,Tips and trends
5 easy family dinners for £25 – June week 2,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-june-week-2.html,Tips and trends
10 best cookie recipes,https://realfood.tesco.com/gallery/10-best-cookie-recipes.html,Top 10
5 easy family dinners for £25 – August week 2,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-august-week-2.html,Tips and trends
Christmas classics: make them or buy them?,https://realfood.tesco.com/curatedlist/christmas-classics-make-them-or-buy-them.html,Tips and trends
How to make vegan hot cross buns,https://realfood.tesco.com/step-by-step/how-to-make-vegan-hot-cross-buns.html,Step-by-step
Nine store cupboard staples to take to uni,https://realfood.tesco.com/curatedlist/nine-store-cupboard-staples-to-take-to-uni.html,Tips and trends
5 easy family dinners for £25 – June week 4,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-june-week-4.html,Tips and trends
Christmas dinner for £30,https://realfood.tesco.com/curatedlist/christmas-dinner-for-30.html,Tips and trends
10 best savoury pancake recipes,https://realfood.tesco.com/gallery/10-best-savoury-pancake-recipes.html,Top 10
Our simple cake recipes,https://realfood.tesco.com/gallery/our-simple-cake-recipes.html,Top 10
10 ooziest cheese recipes,https://realfood.tesco.com/gallery/10-ooziest-cheese-recipes.html,Top 10
10 amazing canapé cheats,https://realfood.tesco.com/curatedlist/10-amazing-canape-cheats.html,Tips and trends
11 wonderful ways to cook sausages this winter,https://realfood.tesco.com/curatedlist/11-wonderful-ways-to-cook-sausages-this-winter.html,Tips and trends
How to make lamb croquettes,https://realfood.tesco.com/step-by-step/how-to-make-lamb-croquettes.html,Step-by-step
10 grain recipes you need to try,https://realfood.tesco.com/gallery/10-grain-recipes-you-need-to-try.html,Top 10
Five quick and easy mug meals,https://realfood.tesco.com/curatedlist/five-quick-and-easy-mug-meals.html,Tips and trends
More ways to enjoy juice this summer,https://realfood.tesco.com/curatedlist/more-ways-to-enjoy-juice-this-summer.html,Tips and trends
